,event_idx,distance,event_year,event_type_idf
0,1,10,2012,1
3500,2,10,2013,1
7288,3,10,2014,1
12208,4,10,2015,1
16953,5,10,2016,1
20918,6,10,2017,1
24532,7,15,2012,2
26889,8,16,2013,2
29309,9,16,2014,2
31672,10,15,2015,2
34366,11,15,2016,2
36899,12,10,2015,3
38858,13,10,2016,3
40549,14,10,2017,3
42215,15,42,2012,4
43886,16,42,2013,4
46649,17,42,2014,4
50688,18,42,2015,4
55094,19,42,2016,4
59830,20,21,2011,5
62859,21,21,2012,5
66559,22,21,2013,5
70956,23,21,2014,5
75443,24,21,2015,5
80638,25,21,2016,5
85923,26,15,2012,6
88411,27,15,2013,6
92071,28,15,2014,6
95810,29,15,2015,6
99262,30,15,2016,6
102010,31,10,2011,7
105759,32,10,2012,7
110634,33,10,2013,7
118472,34,10,2014,7
127256,35,10,2015,7
138134,36,10,2016,7
