,team_idx,team
0,1,Individual
2,2,Sporting C P
3,3,C I Argoncilhe
4,4,Cyclones Sanitop
5,5,Edp Clube Pessoal
6,6,N A Taipas
7,7,Casa Do Benfica Paredes
9,8,Dragoes Do Vale De Vizela
10,9,Amigos Quinta Das Freiras
11,10,Maratona C P
13,11,Estornorte
14,12,Ccd Gondomar
15,13,Clube Sport Maritimo
16,14,Ccsjm
18,15,C Independente Atletismo Alpendorada
19,16,Cd Feirense
22,17,A D Rio Largo Clube Espinho
25,18,S L Benfica
26,19,A C R Roriz
27,20,G D Luz Verde
28,21,Southafrica
30,22,Porto Runners
31,23,Dasdikes
33,24,Chill Out
35,25,Sapadores Da Invicta Acd
36,26,A R Negrepos
39,27,Ginasio C Santo Tirso
42,28,Caldas S Jorge Sport Club
45,29,Ar Estrela Sul
46,30,Adercus
47,31,Dragoes Da Afurada
48,32,Clube - Ind 38
52,33,F C Penafiel
53,34,Amigos Do Pagode
54,35,Cafe Ponto Final
56,36,Costa Ruela Sport
57,37,Millenium Bcp
58,38,Vital
60,39,Os Rompe Solas
61,40,G D Limpeza Urbana
70,41,Clube D C Vngaia
71,42,Gnr Guimaraes
72,43,C A Povoa Do Varzim
73,44,C A Ermesinde
77,45,Parque Nascente Health Club
79,46,Fit E Fun Vale De Cambra
81,47,Maia Ac
87,48,Sport Zone
88,49,Barbearia Teixeira
90,50,Cirac
91,51,Fluvial Triathlon
97,52,Solmaia Health Club
101,53,Parque Health Club
104,54,Tutilar Class Runners
114,55,Leoes Do Veneza
116,56,E De Shot
125,57,G C R Alvarelhos
126,58,G D Santander Totta
132,59,Unicer
133,60,Casa Pires Nazaré
137,61,Clube Gcr Alvarelhos
144,62,Garmin - Clube Olimpico Oeiras
146,63,Leoes Da Guarda
153,64,Lousada Runners
154,65,Clube Galp Energia
159,66,Amarante Running Team
160,67,Escola Do Movimento
165,68,Clube Gbes
170,69,Terrores Do Asfalto
175,70,Paredes Aventura
185,71,Os Kagados
186,72,Ipam
201,73,Es Lousada
204,74,C T Smas Porto
205,75,Movimento Anti-Touradas De Portugal
208,76,Starolas
217,77,Majestic Cafe
225,78,Levanta Poeira
227,79,A C Vermoim
229,80,F C Foz
230,81,Os Amigos De Grijo
231,82,Alfenense
238,83,Idealkorpus Club Running
239,84,Kaizen
243,85,Leoes Da Agra
250,86,Edp Distribuicao
